gene_id,ERR4198627,ERR4198629,ERR4198630,ERR4198632,ERR4198634,ERR4198636,ERR4198638,ERR4198640,ERR4198642
ENSG00000187961.15|KLHL17,1186,287,284,154,231,1128,103,183,85
ENSG00000272512.1|ENSG00000272512,640,246,251,329,198,1396,87,98,59
ENSG00000188290.11|HES4,3200,725,837,555,733,3032,176,123,85
ENSG00000187608.10|ISG15,412,235,97,56,71,747,35,67,20
ENSG00000231702.2|ENSG00000231702,2,1,0,0,0,3,0,4,1
ENSG00000188157.15|AGRN,26251,7446,7300,3178,5575,22513,1148,3050,1185
ENSG00000242590.1|ENSG00000242590,1,0,0,1,0,1,0,0,0
ENSG00000237330.3|RNF223,8,5,3,0,0,17,0,0,3
ENSG00000272141.1|ENSG00000272141,2,2,0,2,3,22,0,0,0
ENSG00000078808.19|SDF4,6756,2534,2660,1359,1528,5449,776,1242,928
ENSG00000176022.7|B3GALT6,2765,919,1428,591,663,2304,344,439,835
ENSG00000184163.3|C1QTNF12,158,56,95,17,31,142,0,20,0
ENSG00000260179.1|ENSG00000260179,20,15,13,11,12,58,1,20,2
ENSG00000230415.1|LINC01786,19,8,10,15,11,71,17,35,17
ENSG00000169972.12|PUSL1,1269,424,525,218,165,1082,91,145,113
ENSG00000283712.1|MIR6727,1,1,1,1,1,1,0,0,0
ENSG00000240731.1|ENSG00000240731,70,30,43,19,33,94,8,85,23
ENSG00000224051.7|CPTP,1536,493,502,259,341,1311,162,201,187
ENSG00000169962.5|TAS1R3,70,27,32,20,0,95,8,33,9
ENSG00000107404.21|DVL1,5483,1406,1574,874,1003,4459,489,737,503
ENSG00000284372.1|MIR6808,1,1,1,1,1,1,1,1,0
ENSG00000162576.17|MXRA8,1665,549,463,446,560,824,37,95,36
ENSG00000175756.14|AURKAIP1,4234,1335,1675,658,691,3283,339,363,344
ENSG00000225931.3|ENSG00000225931,0,0,0,3,0,4,0,0,2
ENSG00000228037.1|ENSG00000228037,0,0,5,8,0,8,0,0,0
ENSG00000289610.1|ENSG00000289610,12,3,4,2,1,6,0,0,0
ENSG00000149527.18|PLCH2,415,150,127,123,305,791,93,267,242
ENSG00000224387.1|ENSG00000224387,0,0,0,0,4,7,0,0,3
ENSG00000229393.1|ENSG00000229393,0,0,0,0,0,8,0,0,0
ENSG00000238164.6|TNFRSF14-AS1,8,0,0,0,0,68,0,0,4
ENSG00000157873.18|TNFRSF14,89,6,61,57,13,94,5,14,10
ENSG00000157881.16|PANK4,4532,1529,1547,696,739,2717,302,523,490
ENSG00000197921.6|HES5,12284,5678,5230,2143,2897,8561,803,306,441
ENSG00000272449.2|ENSG00000272449,631,235,173,144,173,767,8,12,14
ENSG00000157870.17|PRXL2B,3892,1507,2314,591,688,3638,479,517,1049
ENSG00000142606.16|MMEL1,35,13,9,0,9,105,0,13,0
ENSG00000215912.12|TTC34,118,59,134,28,33,396,33,79,53
ENSG00000285945.1|ENSG00000285945,0,0,0,0,0,0,0,0,0
ENSG00000283259.1|ENSG00000283259,0,0,0,0,0,0,0,0,0
ENSG00000237058.1|MMEL1-AS1,5,16,56,0,6,22,0,0,0
ENSG00000177133.13|PRDM16-DT,608,306,134,104,23,1094,85,121,49
ENSG00000226286.1|ENSG00000226286,0,0,0,0,0,7,0,0,0
ENSG00000142611.17|PRDM16,1400,1210,511,142,125,2808,212,395,147
ENSG00000286518.1|ENSG00000286518,0,0,0,3,0,4,2,0,0
ENSG00000283572.1|MIR4251,1,0,0,0,0,3,0,1,0
ENSG00000279839.1|ENSG00000279839,14,13,9,6,0,107,4,42,5
ENSG00000272235.1|ENSG00000272235,10,0,7,8,0,17,3,3,6
ENSG00000287828.1|ENSG00000287828,8,0,3,5,0,20,0,0,2
ENSG00000238260.2|ENSG00000238260,11,12,10,22,12,74,6,14,14
ENSG00000130762.15|ARHGEF16,933,359,453,173,195,661,17,33,25
ENSG00000272088.1|ENSG00000272088,5,6,16,5,3,8,2,3,2
ENSG00000162591.16|MEGF6,5056,1324,1510,393,709,3084,81,314,83
ENSG00000207776.1|MIR551A,1,2,1,0,1,3,0,1,0
ENSG00000233304.7|LINC01346,2,0,0,4,0,3,0,0,8
ENSG00000226374.3|LINC01345,0,0,0,0,0,0,0,0,5
ENSG00000284668.2|LINC02780,0,0,0,0,0,0,0,0,2
ENSG00000284703.1|ENSG00000284703,0,0,0,5,0,2,0,0,6
ENSG00000284692.2|ENSG00000284692,0,0,0,0,0,4,0,0,0
ENSG00000284666.1|ENSG00000284666,0,0,0,0,0,0,0,0,0
ENSG00000260972.1|ENSG00000260972,0,0,0,0,0,0,0,0,0
ENSG00000264341.1|ENSG00000264341,0,0,0,0,0,0,0,0,0
ENSG00000236948.2|ENSG00000236948,6,0,0,0,0,0,0,3,0
ENSG00000196581.11|AJAP1,695,110,0,127,193,11,458,604,13
ENSG00000287586.1|ENSG00000287586,0,0,0,0,0,0,0,0,4
ENSG00000224870.8|MRPL20-AS1,2732,1110,1274,530,580,2232,294,336,557
ENSG00000235098.9|ANKRD65,57,29,7,13,17,158,4,22,2
ENSG00000225905.1|ENSG00000225905,0,0,0,0,0,0,0,0,0
ENSG00000225285.1|LINC01770,9,0,0,6,4,26,0,0,0
ENSG00000179403.12|VWA1,1963,535,448,219,308,1069,91,78,55
ENSG00000215915.10|ATAD3C,145,61,106,32,31,180,18,28,20
ENSG00000160072.20|ATAD3B,4258,1302,2430,927,668,3569,333,837,405
ENSG00000284740.2|ENSG00000284740,20,7,29,11,5,57,7,29,2
ENSG00000205090.9|TMEM240,344,71,119,49,67,184,42,38,40
ENSG00000274481.1|ENSG00000274481,0,0,0,0,0,1,0,0,0
ENSG00000197530.13|MIB2,3424,1144,1153,753,805,3780,309,682,235
ENSG00000189409.14|MMP23B,31,32,22,9,6,64,0,14,3
ENSG00000248333.9|CDK11B,1709,692,850,466,409,2470,268,729,422
ENSG00000269737.2|ENSG00000269737,8,3,9,3,2,24,2,3,8
ENSG00000008128.23|CDK11A,740,347,316,321,215,1172,136,429,100
ENSG00000008130.15|NADK,5390,1793,1592,1002,956,3496,464,800,602
ENSG00000231050.2|ENSG00000231050,64,24,22,47,9,211,18,32,30
ENSG00000169885.10|CALML6,7,5,0,3,5,38,0,0,5
ENSG00000178821.13|TMEM52,142,37,55,17,36,189,0,10,35
ENSG00000142609.20|CFAP74,103,61,27,23,33,213,0,28,7
ENSG00000187730.9|GABRD,184,58,60,56,18,145,7,12,13
ENSG00000226969.1|ENSG00000226969,3,0,0,0,0,0,0,0,0
ENSG00000067606.17|PRKCZ,2290,854,747,389,374,1507,319,561,1166
ENSG00000162585.17|FAAP20,2679,839,751,352,334,1541,144,414,175
ENSG00000234396.3|ENSG00000234396,0,0,0,0,0,0,0,0,0
ENSG00000116151.14|MORN1,1217,744,806,326,334,1796,180,597,251
ENSG00000157916.20|RER1,6756,2715,5052,1758,1530,6179,965,1373,1507
ENSG00000157911.11|PEX10,2777,974,1342,509,623,2355,403,276,348
ENSG00000221978.13|CCNL2,8876,4131,6236,3385,3273,12402,1304,4117,1823
ENSG00000242485.6|MRPL20,3688,1343,2762,720,841,3348,422,538,754
ENSG00000264293.2|RN7SL657P,1,1,1,1,1,1,1,1,1
ENSG00000272455.1|MRPL20-DT,237,122,220,93,86,431,61,74,79
ENSG00000205116.4|TMEM88B,27,19,9,3,3,37,0,5,7
ENSG00000197785.14|ATAD3A,1778,647,947,279,321,1963,174,242,135
ENSG00000160075.12|SSU72,7494,2535,4375,1455,1377,6423,949,1237,1821
ENSG00000215014.5|ENSG00000215014,141,69,119,78,42,334,24,38,32
ENSG00000228594.4|FNDC10,700,261,348,99,154,1031,100,153,166
ENSG00000286989.1|ENSG00000286989,35,10,13,12,13,240,14,57,60
ENSG00000272106.1|ENSG00000272106,1045,411,577,254,396,1386,225,276,573
ENSG00000272004.1|ENSG00000272004,10,5,6,2,4,23,2,2,4
ENSG00000189339.12|SLC35E2B,9749,5670,4810,1717,3454,11175,1970,3666,4455
ENSG00000215914.4|MMP23A,25,20,10,5,5,31,0,0,0
ENSG00000268575.1|ENSG00000268575,1771,1453,1085,317,725,2411,253,1047,748
ENSG00000227775.3|ENSG00000227775,54,17,19,23,10,98,8,26,13
ENSG00000215790.8|SLC35E2A,3675,1415,899,567,800,2383,444,849,783
ENSG00000078369.18|GNB1,39273,11339,20170,8554,8573,33685,7508,7944,16090
ENSG00000233542.2|ENSG00000233542,16,8,11,4,0,18,0,3,0
ENSG00000271806.1|ENSG00000271806,3,2,2,3,4,10,2,2,4
ENSG00000182873.5|PRKCZ-AS1,276,91,77,46,28,127,50,65,19
ENSG00000157933.10|SKI,4536,1923,2764,718,839,4352,378,1315,424
ENSG00000287356.1|ENSG00000287356,59,28,31,22,35,138,0,11,7
ENSG00000272161.1|ENSG00000272161,1,1,1,2,0,5,2,7,0
ENSG00000269896.2|ENSG00000269896,221,170,147,58,77,373,53,126,85
ENSG00000272420.1|ENSG00000272420,19,17,14,2,15,37,11,43,16
ENSG00000264101.1|MIR4689,0,1,0,1,0,0,0,2,0
ENSG00000069424.16|KCNAB2,891,280,276,233,231,1335,165,442,438
ENSG00000131697.18|NPHP4,2696,1124,1188,459,574,2242,157,749,328
ENSG00000158109.15|TPRG1L,1785,760,1168,556,568,2832,338,620,851
ENSG00000116213.16|WRAP73,2605,717,835,452,330,1664,204,413,246
ENSG00000078900.15|TP73,541,163,153,17,51,654,12,12,11
ENSG00000227589.1|TP73-AS3,0,0,0,0,0,6,0,0,0
ENSG00000235131.1|TP73-AS2,0,0,0,0,0,0,0,0,0
ENSG00000227372.12|TP73-AS1,4056,1947,2103,781,891,3580,389,857,633
ENSG00000276189.1|ENSG00000276189,0,0,0,0,0,1,0,0,0
ENSG00000162592.10|CCDC27,7,0,0,12,8,114,0,4,4
ENSG00000116198.14|CEP104,1789,774,984,544,525,2786,528,1231,918
ENSG00000169598.17|DFFB,787,266,355,187,137,696,80,183,177
ENSG00000198912.12|C1orf174,3401,1307,1849,651,707,2368,300,516,454
ENSG00000236423.7|LINC01134,7,19,10,3,7,35,0,5,5
ENSG00000235169.11|SMIM1,199,44,41,7,14,95,0,0,0
ENSG00000130764.10|LRRC47,6432,2487,3832,1610,1730,6037,1051,1081,1509
ENSG00000266075.2|RN7SL574P,7,3,0,0,0,4,2,1,0
ENSG00000272153.1|ENSG00000272153,14,7,4,0,0,20,0,0,0
ENSG00000173673.8|HES3,513,18,301,221,21,185,3,13,7
ENSG00000158292.7|GPR153,5837,1498,2189,910,890,5508,494,568,780
ENSG00000116254.18|CHD5,72,33,107,70,57,1672,869,3326,3038
ENSG00000285629.1|ENSG00000285629,0,0,0,0,0,13,0,2,0
ENSG00000158286.13|RNF207,98,23,30,43,18,221,48,228,97
ENSG00000116237.16|ICMT,11043,4321,7767,2417,1603,5886,806,696,1281
ENSG00000225077.3|LINC00337,34,3,18,20,4,31,2,4,0
